"timestamp","surface","path","check_type","evidence_opened","manual_observation","decision","gap","destructive_action_this_session"
"2026-06-05Tcurrent","remote-tokenizerclean-no-summary","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_carrier_base_b160","opened_remote_directory_and_training_csv","config.json; logs; src; epoch_0001.pt; epoch_0002.pt; numeric_debug.jsonl; logs/training_20260530_165017.csv","Exists. Has config, source snapshot, two 43.704MB weights, training CSV last_epoch=2, last_loss=7.463292598724365, last_epoch_time_sec=38.54743432998657, summary_like_count=0.","retain pending summary recovery or owner decision","No summary/full_eval evidence found; cannot promote to formal claim or delete as junk.","none"
"2026-06-05Tcurrent","remote-tokenizerclean-no-summary","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_e2_b80","opened_remote_directory_and_training_csv","config.json; logs; src; epoch_0001.pt; epoch_0002.pt; numeric_debug.jsonl; logs/training_20260601_133916.csv","Exists. Has two 43.629MB weights, config, training CSV last_epoch=2, last_loss=10.951644897460938, last_epoch_time_sec=809.759120464325, summary_like_count=0.","retain pending summary recovery or owner decision","No summary/full_eval evidence found; cannot delete without owner decision.","none"
"2026-06-05Tcurrent","remote-tokenizerclean-no-summary","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56","opened_remote_directory_and_training_csv","config.json; logs; src; epoch_0001.pt; numeric_debug.jsonl; logs/training_20260601_151943.csv","Exists. Has one 43.629MB weight, config, training CSV last_epoch=1, last_loss=10.766971588134766, last_epoch_time_sec=109.10806441307068, summary_like_count=0.","retain pending summary recovery or owner decision","No summary/full_eval evidence found; cannot delete without owner decision.","none"
"2026-06-05Tcurrent","remote-tokenizerclean-no-summary","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_pair_budget_tokonly_e1_b80","opened_remote_directory_and_training_csv","config.json; logs; src; epoch_0001.pt; numeric_debug.jsonl; logs/training_20260601_103736.csv","Exists. Has one 15.044MB weight, config, training CSV last_epoch=1, last_loss=10.040706634521484, last_epoch_time_sec=70.20254158973694, summary_like_count=0.","retain pending summary recovery or owner decision","No summary/full_eval evidence found; cannot delete without owner decision.","none"
"2026-06-05Tcurrent","remote-tokenizerclean-no-summary","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_full_e2_from_tok_b48","opened_remote_directory_and_training_csv","config.json; logs; src; epoch_0001.pt; epoch_0002.pt; numeric_debug.jsonl; logs/training_20260531_035513.csv","Exists. Has two 43.624MB weights, config, training CSV last_epoch=2, last_loss=10.140495300292969, last_epoch_time_sec=264.62290501594543, summary_like_count=0.","retain pending summary recovery or owner decision","No summary/full_eval evidence found; cannot delete without owner decision.","none"
"2026-06-05Tcurrent","remote-tokenizerclean-no-summary","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48","opened_remote_directory_and_training_csv","config.json; logs; src; epoch_0001.pt; numeric_debug.jsonl; logs/training_20260531_123219.csv","Exists. Has one 15.110MB weight, config, training CSV last_epoch=1, last_loss=9.926051139831543, last_epoch_time_sec=216.7813024520874, summary_like_count=0.","retain pending summary recovery or owner decision","No summary/full_eval evidence found; cannot delete without owner decision.","none"
"2026-06-05Tcurrent","remote-tokenizerclean-no-summary","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_trueint_stylepush_tsw40_kin025_e1_b48","opened_remote_directory_and_training_csv","config.json; logs; src; epoch_0001.pt; numeric_debug.jsonl; logs/training_20260531_112600.csv","Exists. Has one 43.625MB weight, config, training CSV last_epoch=1, last_loss=19.35453224182129, last_epoch_time_sec=295.77715969085693, summary_like_count=0.","retain pending summary recovery or owner decision","No summary/full_eval evidence found; cannot delete without owner decision.","none"
"2026-06-05Tcurrent","remote-main-rar-status","I:\Github\Latent_Style","opened_remote_paths","experiments.rar; experiments dir; Cycle-NCE\45.rar; Cycle-NCE\Gate.rar; Cycle-NCE\Attn_48.part1.rar; Cycle-NCE\chess.part1.rar","Direct remote verification: experiments.rar absent; experiments dir present; Cycle-NCE\45.rar present at 507.452MB; Gate.rar, Attn_48.part1.rar, and chess.part1.rar absent.","retain 45.rar; deleted RARs remain deleted","45.rar can only be removed after curated nonweight evidence extraction or explicit owner decision.","none"
"2026-06-05Tcurrent","remote-main-remaining-weights","I:\Github\Latent_Style\SchrodingerBridge\exp","opened_local_ledger_and_remote_context","manual_remote_schrodingerbridge_remaining_weights_after_thinning_20260605.csv","Remaining after thinning is 17 anchor/probe weights including aaai2027 path kinetic, Distinct5 variants, and S-add repro/exact epoch_0007/0008. These are not broad deletion candidates.","retain current anchors","Cross-cache dedup hash audit remains.","none"
"2026-06-05Tcurrent","remote-samam-remaining-steps","I:\Github\Latent_Style related SaMAM step_checkpoints","opened_local_ledger_and_remote_context","manual_remote_samam_remaining_step_checkpoints_after_alias_cleanup_20260605.csv","Remaining SaMAM curve has 12 step checkpoints from 000250 to 003000, around 275.897-275.899MB each. Prior cleanup removed redundant last*.ckpt aliases, not the curve points.","retain curve checkpoints","Owner can request further thinning, but current evidence supports keeping the step curve.","none"
