"scope","path","surface_type","manual_check","evidence","decision","delete_whitelist","next_action","note"
"local_remaining_surface","Related_Works\repos\AdaIN-style-official\.git\shallow.lock","external repo git lock","resolved exact path and checked running git-like processes","exists=True; size=41 bytes; active git/GitHubDesktop processes observed","keep_pending","no","do not delete in this pass","inside external repo .git and volatile; not experiment payload"
"local_remaining_surface","Cycle-NCE","historical experiment family root","opened top-level surface from remaining probe; nested lock-like files handled separately","5069 files; 3079.423 MB; historical docs/metrics/configs/eval_cache/family dirs present","keep","no","retain historical metrics and family evidence","future cleanup requires archive/provenance policy"
"local_remaining_surface","Cycle-NCE\uv.lock","dependency lock file","opened first lines","starts with version=1/revision=3/requires-python >=3.10; size=0.394227 MB","keep","no","retain dependency lock","not a stale temp lock"
"local_remaining_surface","Cycle-NCE\src\uv.lock","dependency lock file","opened first lines","starts with version=1/revision=3/requires-python >=3.14; size=0.000125 MB","keep","no","retain dependency lock","not a stale temp lock"
"local_remaining_surface","archive","historical cleanup/archive root","opened top-level surface from remaining probe","3450 files; 52.856 MB; immediate dir 2026-05-19_cleanup","keep","no","retain pending archive provenance review","do not delete by root name"
"local_remaining_surface","tmp","paper/review scratch root","opened top-level surface from remaining probe","371 files; 176.618 MB; paper/PDF/PNG/TEX review scratch present","keep","no","retain because paper tex/pdf/png boundary is explicitly out of scope","do not touch paper-related dirty surfaces"
"local_remaining_surface","seedream45_api","generated protocol data root","opened top-level surface from remaining probe","1443 files; 52.083 MB; immediate dir protocol_a_800","keep","no","retain generated protocol evidence","not meaningful cleanup target in this pass"
"local_remaining_surface","exp","root highres eval surface","opened top-level surface; nested tar rows handled separately","4502 files; 286.785 MB; immediate dir highres_eval_local","keep","no","retain highres eval evidence root","only fully duplicated output tar row below is whitelisted"
"local_remaining_surface","exp\highres_eval_local\samst_outputs_epoch50.tar","fully duplicated output archive","listed tar verbosely; parsed file entries and compared every archive path to extracted same-size file under exp\highres_eval_local","750 file entries; missing/mismatched extracted files=0; archive size=32.186 MB","delete","yes","delete redundant output tar and keep extracted samst output tree","does not contain checkpoints"
"local_remaining_surface","exp\highres_eval_local\samst_ckpts_epoch50.tar","checkpoint archive","listed tar entries and checked extracted same-path files","5 model file entries; extracted same-path present=0; archive size=11.146 MB","keep","no","retain checkpoint archive unless a separate ckpt retention policy is approved","not duplicated by extracted files"
"local_remaining_surface","efficiency","profile/tooling root","opened top-level surface from remaining probe","1 file; efficiency_profile.json; 0 MB","keep","no","retain profile evidence","not cleanup target"
"local_remaining_surface","fast_infer_ablate43","tooling root","opened top-level surface from remaining probe","7 files; 0.028 MB; bench/export/runtime/server scripts present","keep","no","retain tooling","not cleanup target"
"local_remaining_surface","latent_cyclegan","legacy code/docs root","opened top-level surface from remaining probe","11 files; 17.540 MB; code/docs present","keep","no","retain legacy tooling/docs pending archive policy","not a direct deletion target"
"local_remaining_surface","o20_d3","legacy code/log root","opened top-level surface from remaining probe","11 files; 0.296 MB; logs/src/config present","keep","no","retain legacy config/log/src root","not a direct deletion target"
"local_remaining_surface","wikiart_fewshot","few-shot dataset root","opened top-level surface from remaining probe","66 files; 3.015 MB; ukiyo_e and processed data present","keep","no","retain dataset","not checkpoint cleanup target"
