case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e20_style_specificity,Hold4TwoStage_e20_structure_preservation,Hold4TwoStage_e20_artifact_control,Hold4TwoStage_e20_note
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo styling; mostly preserves source structure but lacks ornamental detail. Slight blur and low contrast reduce visual fidelity.,5,5,5,Excellent Rococo frame integration with accurate color and texture. Source content (red ovals) preserved clearly. No visible artifacts or distortion.,1,2,1,Severe structural collapse and artifacting. Content is distorted into abstract shapes. No discernible Rococo style applied.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly washed out and hazy; minimalism not clearly expressed, structure blurred by excessive smoothing.",5,5,5,"Clean geometric shapes, flat colors, and clear composition align well with minimalism; source structure preserved without artifacts.",2,3,2,Similar to LBM — overly diffuse and low-contrast; fails to convey minimalism or preserve detail effectively.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faded and washed-out; style transfer is weak and lacks Renaissance texture/color fidelity. Structure is preserved but overly blurred.,5,5,5,"Excellent match to Early Renaissance fresco style with appropriate color palette, texture, and lighting. Structure is perfectly preserved with no artifacts.",3,4,3,Moderate style transfer; some color and texture improvement over source but still lacks the richness of the target. Minor smudging artifacts visible.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very faint impressionistic wash; structure preserved but style is weak and blurry.,5,5,5,Excellent impressionist brushwork and color harmony; structure perfectly preserved with no artifacts.,1,2,2,"Overly smoothed, almost monochrome; loses both style and structural detail."
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimalism not clearly expressed, structure partially preserved but heavily degraded by haze.",5,5,5,"Excellent minimalism: bold flat colors, clean shapes, strong silhouette. Structure well preserved with stylized simplification. No visible artifacts.",2,3,2,Similar to LBM — overly soft and indistinct; fails to convey minimalism clearly; structure is present but obscured by blur/noise-like artifacts.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Early Renaissance style; overly smooth and painterly without period-specific texture or color depth. Structure preserved but lacks stylistic fidelity.,5,5,5,"Excellent match to Early Renaissance palette, brushwork, and atmospheric perspective. Clean structure with no visible artifacts. Best overall result.",1,2,1,Severely degraded output — almost entirely abstracted into pinkish noise. No discernible style or structure. Fails on all criteria.
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely fails to preserve structure or apply style; output is a blurred orange gradient with no discernible content.,5,5,5,"Perfectly preserves the source structure (woman's portrait) and applies the Early Renaissance style (warm tones, painterly texture) flawlessly with no artifacts.",1,1,2,"Fails to preserve structure or apply style; output is a blurred peach/orange gradient, similar to LBM but slightly less saturated."
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo style transfer; heavy texture degradation and loss of color fidelity; structure partially preserved but obscured by noise.,5,5,5,"Excellent Rococo aesthetic with soft pastels, ornate framing, and delicate brushwork; source structure fully preserved; minimal artifacts.",3,4,2,Moderate style influence with some Rococo tones; structure mostly intact but marred by severe patching artifacts and inconsistent blending.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean lines, clear structure, and no visible artifacts; best overall output.",3,4,3,"Moderate minimalism; structure mostly preserved but suffers from overexposure and haze, reducing clarity."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,"Moderate Rococo influence with pastel tones and ornamental framing, but lacks fluidity and decorative richness. Structure is preserved but edges are slightly blurred. Some smudging and color bleeding present.",5,5,5,"Excellent Rococo styling: soft pastels, gilded frames, delicate brushwork simulation, and ornate architectural details. Structure fully preserved with clean edges and no visible artifacts. Best overall match to target style.",2,3,2,"Weak Rococo interpretation — overly washed out, with heavy blurring and loss of detail. Structural elements are distorted (e.g., figures merged, frame broken). Significant artifacts including smears and color bleeding."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with no artifacts, but applies almost no impressionistic style — appears nearly identical to source.",5,4,4,Strong impressionistic brushwork and color palette applied successfully; minor softening of edges but overall structure well preserved with minimal artifacts.,3,2,2,"Shows some stylistic intent but suffers from severe structural distortion and visible artifacts (smearing, loss of object integrity), reducing fidelity."
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,3,Completely lost style and structure; output is nearly blank white with minimal content.,4,5,5,Best preservation of source structure and subtle stylistic hints; clean output with no visible artifacts.,2,3,2,Slight color shift and minor artifacts (blue spots); structure preserved but style not well captured.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but fails to apply Impressionist style; output is nearly identical to source.,5,3,3,Strongly applies Impressionist brushwork and color; structure is recognizable but slightly distorted; minor artifacts in background.,1,2,1,Output is extremely washed out and blurry; loses both style and structure; severe artifacts and loss of detail.
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style specificity; image is overly blurred and lacks Rococo ornamentation. Structure is partially preserved but degraded by heavy smoothing. Significant artifacts from over-smoothing.,5,5,5,"Excellent Rococo style transfer with ornate frame, pastel palette, and decorative elements. Structure of the subject is perfectly preserved. No visible artifacts; clean and polished output.",1,2,1,Fails to capture Rococo style; appears as a corrupted or abstracted version of the source. Structure is severely distorted with black splotches and loss of detail. High artifact presence.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Faint Rococo-like softness but lacks ornamental detail; structure preserved but colors muted and indistinct.,5,5,5,"Strong Rococo framing with ornate border, soft lighting, and elegant composition; source structure perfectly preserved with no artifacts.",2,2,2,Heavy blur and smearing distort structure; minimal Rococo character; significant artifacts degrade quality.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low contrast and washed-out appearance; style transfer is nearly invisible, structure is faintly preserved but lacks definition, significant artifacts from over-smoothing.",5,5,5,"Excellent Impressionist style with visible brushwork and color blending; source structure (boy, dog, basket, landscape) is perfectly preserved; no visible artifacts or distortions.",2,2,2,"Extremely faded and low-contrast output; style transfer is minimal, structure is barely discernible, heavy artifacts from blurring and loss of detail."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Excessive glow and halo artifacts distort the neon sign; style is overly diffuse and lacks minimalism’s clean restraint.,5,5,5,"Clean, sharp rendering with accurate structure and minimal visual noise; successfully conveys minimalism through simplicity and clarity.",3,4,4,Moderate success — structure preserved well but style is muted and slightly washed out; lacks the crispness of true minimalism.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Rococo style; output is a faded, blurry yellow rectangle with no ornamental detail or structural fidelity to source.",5,5,5,Perfectly applies Rococo ornate frame with floral motifs and gilded details while preserving the original yellow canvas structure and aspect ratio. No artifacts.,1,2,1,Output is heavily distorted with noise-like texture; completely loses both style and structure. Appears as a corrupted or failed generation.
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,3,2,Moderate style transfer with visible artifacts and color bleeding; structure is somewhat preserved but lacks refinement.,5,5,5,Excellent style transfer with strong Early Renaissance characteristics; structure is well-preserved and artifacts are minimal.,4,4,3,Good style transfer with some artifacts; structure is mostly preserved but less refined than Seedream_repaired750.
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e20,4,2,3,3,"Very washed out, low contrast; minimalism not clearly expressed beyond blurriness. Structure is preserved but lacks definition. Some noise/artifacts in sky and grass.",5,5,4,"Strong minimalism: flat color blocks, simplified forms, clean edges. Excellent structure preservation of boats, masts, horizon. Minor blocky artifacts in grass and sky transitions.",3,4,5,Moderate minimalism — soft gradients and muted tones. Structure well preserved with smooth transitions. Very clean output with no visible artifacts or noise.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out style; lacks Ukiyo-e color and line quality. Structure preserved but overly desaturated.",5,5,5,"Excellent Ukiyo-e emulation: bold lines, flat color blocks, stylized figures, and compositional fidelity to source. Minimal artifacts.",1,3,2,"Extremely faded, almost monochrome output. Fails to convey Ukiyo-e characteristics; heavy noise and loss of detail."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out impressionistic washes; structure is partially preserved but overly blurred and low-contrast. Style transfer is weak and indistinct.",5,5,5,Excellent impressionistic brushwork and color palette while perfectly preserving architectural and figure structure. Clean output with no visible artifacts.,3,2,2,"Some impressionistic texture applied, but structure is heavily degraded — figures and buildings are smeared and ghostly. High artifact presence and poor coherence."
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Hold4TwoStage_e20,Hold4TwoStage_e20,Hold4TwoStage_e20,Hold4TwoStage_e20,5,2,3,3,Overly washed out; minimalism not clearly expressed beyond low contrast. Structure preserved but lacks stylistic intent.,3,4,4,Good structural fidelity with clean lines and tape elements. Style is abstract but not strongly minimalist — more graphic than minimal.,5,5,5,"Excellent minimalism: clean geometry, restrained palette, precise edges, no artifacts. Faithfully preserves source structure while applying target style effectively."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Ukiyo-e stylistic features; structure is preserved but heavily degraded by blur.,5,5,5,"Excellent Ukiyo-e style transfer with clear line work, flat color regions, and traditional framing; structure perfectly preserved; no visible artifacts.",3,4,3,"Some Ukiyo-e influence in coloring and softness, but lacks crisp lines; structure mostly intact; mild smudging and halo artifacts around hair and edges."
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",2,2,2,Heavy blur and haze obscure both style and structure; poor artifact control.
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style specificity; output is overly blurred and lacks minimalism. Structure is partially preserved but heavily degraded by noise and smearing. High artifacts.,5,5,5,Excellent minimalism achieved via flat color blocks and simplified geometry. Perfect structure preservation with clean edges. No visible artifacts.,2,2,2,Fails to apply minimalism; output is washed out and hazy. Structure is poorly preserved due to extreme blurring. Significant artifacts from over-smoothing.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very faint, washed-out style; lacks bold lines and color blocking of Ukiyo-e. Structure is preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e style transfer with clear line work, flat color areas, and stylized shading. Structure and content are well preserved with minimal artifacts.",3,4,3,"Moderate style transfer with some Ukiyo-e characteristics (e.g., simplified forms), but lacks crisp lines and vibrant color contrast. Some smudging and loss of detail."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak impressionistic texture; overly smooth and flat. Structure is preserved but lacks stylistic integration. Artifacts include unnatural blending and loss of edge definition.,5,5,5,Excellent impressionist brushwork applied consistently across the scene. Structure of the window and wall is well-preserved with natural color transitions. No visible artifacts; clean and coherent output.,3,4,3,Moderate impressionist effect with some visible brushstroke simulation. Structure is mostly intact but slightly distorted. Some smudging and haloing around edges indicate minor artifacts.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style transfer; lacks Ukiyo-e line work and color palette. Structure is preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e style application with bold outlines, flat colors, and stylized textures. Structure perfectly preserved with no visible artifacts.",2,3,2,Similar to LBM — extremely faded and low-contrast. Style is barely perceptible; structure is intact but obscured by haze-like artifacts.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not achieved, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean lines, strong structure retention, and no visible artifacts.",3,4,3,Moderate minimalism; structure mostly preserved but suffers from haze and low contrast.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Severe structural distortion and ghosting; style is vague and inconsistent with Early Renaissance aesthetics.,5,5,5,Excellent preservation of source structure and faithful application of Early Renaissance style with no visible artifacts.,3,3,3,Moderate style transfer with noticeable blurring and softening; structure is preserved but lacks crispness and detail fidelity.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; structure preserved but lacks ornamental detail; noticeable blur and color bleeding artifacts.,5,5,5,Excellent Rococo style transfer with ornate frame and warm tones; structure perfectly preserved; no visible artifacts.,3,4,3,Moderate Rococo influence with soft background; structure mostly intact; slight smudging and haloing around object edges.
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with clean geometry and flat colors; structure fully preserved; no visible artifacts.,2,3,2,"Similar to LBM-Knee_e13 — hazy, low contrast, minimalism absent, structure faintly retained but obscured."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Weak Rococo influence; heavy dark vignette and color distortion obscure content and style.,5,5,5,"Excellent Rococo aesthetic with ornamental framing, soft pastel tones, and faithful structure retention; minimal artifacts.",3,3,3,"Moderate Rococo feel but suffers from blurring, smudging, and loss of fine detail; structure partially preserved."
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but fails to apply Renaissance style; remains close to source sketch with minimal stylistic transformation.,5,5,5,"Excellent fusion of Early Renaissance portraiture style with source geometry; clean, artifact-free, and structurally faithful.",3,3,2,"Attempts stylistic blend but suffers from heavy artifacts, washed-out regions, and structural distortion; inconsistent style application."
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,4,Minimal style transfer; mostly preserves source structure with faint reddish tint. Lacks Renaissance architectural or figural elements.,5,5,5,"Excellent integration of Early Renaissance style: classical architecture, columns, arches, and figures rendered in period-appropriate palette and composition. Source object (red ovals) is preserved as a stylized element within the scene. Clean edges, no artifacts.",1,2,1,Severe distortion: source object is warped into abstract shapes with black voids. No recognizable Renaissance style. Heavy artifacts and loss of structural integrity.
Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image is overly blurred and lacks Rococo characteristics. Structure is preserved but obscured by haze.,5,5,5,Excellent Rococo style transfer with ornate frame and soft lighting. Structure is perfectly preserved with no visible artifacts.,2,2,1,"Poor style transfer; image is extremely blurry and distorted. Significant artifacts present, especially around the face and hands."
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; retains source structure but lacks impressionistic texture or color blending. Slight artifacts in background.,5,5,5,Excellent impressionist style with soft brushwork and color washes; perfectly preserves figure pose and garment details; no visible artifacts.,3,3,2,"Partial style application with muted tones; structure is blurred and distorted; noticeable smudging and loss of detail, especially in face and hands."
