case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,DualPathFresh_e01_style_specificity,DualPathFresh_e01_structure_preservation,DualPathFresh_e01_artifact_control,DualPathFresh_e01_note
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output resembles original source with minimal stylistic influence. Structure preserved but lacks Renaissance texture/color. Heavy blurring and loss of detail.,5,5,5,"Excellent match to Early Renaissance fresco style: warm earth tones, soft shading, visible brushwork/texture. Structure perfectly preserved. No artifacts or distortions.",3,4,3,"Moderate style transfer — some color warming and texture added, but less cohesive than Seedream. Slight over-smoothing and minor haloing around figure edges. Structure mostly intact."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed out, low contrast, and lacks Impressionist brushwork or color vibrancy. Structure is preserved but style is nearly absent.",5,5,5,"Excellent Impressionist rendering with rich colors, visible brushstroke texture, and strong structural fidelity to the source. No visible artifacts.",3,4,4,"Moderate Impressionist feel with soft edges and muted tones, but lacks the vibrancy and textural detail of true Impressionism. Minor smudging artifacts present."
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; fails to capture minimalism’s clean geometry or color blocking. Structure is preserved but degraded by haze.,5,5,5,"Excellent minimalism: bold flat colors, simplified forms, strong silhouette, no noise or blur. Faithful to target style while preserving pose and composition.",2,3,2,"Similar to LBM — hazy, low-contrast, lacks minimalism’s crispness. Structure is recognizable but visually muddy with soft artifacts."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faint, washed-out style transfer; lacks Renaissance texture and color depth. Structure preserved but overly blurred.",5,5,5,"Excellent Early Renaissance style: rich palette, visible brushwork, atmospheric perspective. Structure perfectly preserved with no artifacts.",3,4,3,Moderate style transfer with some Renaissance tones but lacks richness. Some smudging and loss of fine detail in trees.
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely failed to preserve structure or apply style; output is a blurred orange blob with no discernible content.,5,5,5,"Perfectly preserved the source structure (bear) while applying the Early Renaissance style (portrait of a woman) as a stylistic overlay. The result is a coherent, high-quality image that successfully merges the content and style references.",3,2,2,"Shows some attempt at style transfer with warm tones, but structure is heavily blurred and indistinct. Artifacts are present in the form of smudging and lack of detail."
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; image appears faded and washed out with minimal stylistic influence. Structure is partially preserved but degraded by noise and blur. High artifact presence.,5,5,5,"Excellent Rococo style integration with soft pastel tones, ornate framing, and decorative elements matching the target reference. Source structure is well-preserved with clear figures and composition. Minimal artifacts.",3,4,3,"Moderate Rococo influence with some pastel coloring and framing, but less cohesive than Seedream. Structure is mostly intact but slightly distorted. Some visible artifacts and uneven texture."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not achieved, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean lines, muted palette, and full structural fidelity; no visible artifacts.",3,4,3,Moderate minimalism; structure mostly preserved but slight color bleeding and softness reduce clarity.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo pastel tones but lacks ornate framing and decorative richness; structure is preserved but colors are washed out and details are blurred.,5,5,5,"Excellent Rococo style transfer with ornate golden frame, soft pastel palette, and elegant curves; source structure perfectly preserved with no artifacts.",3,4,3,"Moderate Rococo influence with some pastel tones and framing, but less ornate than Seedream; structure is well preserved but color saturation and detail clarity are slightly inferior."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with no artifacts, but applies almost no impressionistic style — appears nearly identical to source.",5,4,4,Strongest impressionistic rendering with visible brushwork and color blending; minor softening of edges but overall structure well maintained.,3,4,3,Moderate style application with some smudging and halo artifacts around object boundaries; structure mostly preserved but less clean than others.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,3,Completely washed out; no impressionistic texture or color applied. Structure barely preserved due to extreme brightness.,4,5,4,"Best among options: retains source structure and applies a subtle warm, textured tone reminiscent of impressionist palette. Minor artifacts at edges but overall coherent.",1,2,2,Overly blurred and desaturated; loses all stylistic intent and structural detail. Appears as a failed denoising or blur operation.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,DualPathFresh_e01,Seedream_repaired750,DualPathFresh_e01,DualPathFresh_e01,4,2,4,3,Minimal style transfer; retains source structure but lacks Impressionist texture or color.,5,2,3,"Strong Impressionist palette and brushwork, but distorts original composition and introduces artifacts in sky/water.",4,5,5,"Best balance: preserves source layout and figure, applies subtle Impressionist tones without distortion or noise."
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo specificity; overly blurred and washed out. Structure is partially preserved but degraded by heavy smoothing. Significant artifacts from over-smoothing and loss of detail.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel palette, and decorative elements. Source structure (pose, instrument, dress) is perfectly preserved. No visible artifacts; clean and polished output.",3,4,3,"Moderate Rococo feel via soft lighting and muted tones, but lacks ornamental framing or decorative motifs. Structure is well preserved. Some haze and low contrast reduce clarity; minor artifacts in texture blending."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo influence; structure preserved but lacks stylistic transformation. Slight color wash and low contrast reduce visual fidelity.,5,5,5,Strong Rococo framing and ornamental border with soft pastel tones. Structure perfectly preserved within the decorative frame. No visible artifacts.,3,4,3,"Moderate Rococo feel via muted palette and soft edges, but lacks defining ornamental elements. Some blurring and loss of detail in figures."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faded and washed-out; impressionistic brushwork barely visible; structure preserved but style is weak and indistinct.,5,5,5,"Excellent impressionist rendering with vibrant colors, visible brushstrokes, and sky/landscape texture matching reference; subject structure perfectly preserved; no artifacts.",3,4,3,"Some impressionistic blending and color wash present, but overly hazy and low-contrast; structure mostly intact but lacks crispness; mild smudging artifacts."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,DualPathFresh_e01,DualPathFresh_e01,LBM-Knee_e13,DualPathFresh_e01,4,3,5,4,Strong structural fidelity but introduces a soft glow halo that dilutes minimalism; color saturation is moderate.,2,4,2,Over-saturated neon colors and heavy contrast clash with minimalism; visible artifacts in cable rendering and background noise.,5,4,5,"Best captures minimalism via muted tones, clean background, and restrained glow; slight loss of fine detail in neon tubes but overall most stylistically coherent."
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; mostly a faded yellow gradient with no ornamental detail. Structure is preserved as a rectangle but lacks any stylistic framing or texture. Heavy blurring and vignetting artifacts degrade quality.,5,5,5,Excellent Rococo style transfer with intricate floral and scrollwork border framing the yellow field. Structure is perfectly preserved as a rectangular panel. No visible artifacts; clean edges and rich decorative detail.,2,3,2,"Minimal style transfer; appears as a blurry, desaturated version of the source with faint hints of Rococo-like tones but no ornamental structure. Structure is loosely maintained but heavily degraded by noise and blur artifacts."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,DualPathFresh_e01,DualPathFresh_e01,DualPathFresh_e01,DualPathFresh_e01,5,3,4,3,Moderate style transfer with some color bleeding and edge artifacts; structure mostly preserved but lacks fine Renaissance texture detail.,4,3,4,Good stylistic fidelity with smoother gradients and better integration of figures into landscape; minor structural distortion in foreground figures.,5,5,5,"Excellent match to Early Renaissance style with accurate color palette, texture, and composition; no visible artifacts or structural degradation."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e01,4,2,3,3,"Overly washed out; minimalism not clearly expressed, structure blurred but intact.",5,5,4,Strong minimalism with clean geometry and color blocks; preserves key structures well.,3,4,5,"Clean output with minimal artifacts, but style is vague and lacks strong minimalism cues."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but very low style specificity — appears mostly grayscale with minimal Ukiyo-e characteristics.",5,3,3,Strong Ukiyo-e style transfer with appropriate color palette and line work; some structural distortion and minor artifacts present.,2,4,4,"Moderate structure preservation and low artifacts, but style transfer is weak — lacks clear Ukiyo-e visual traits, appears washed out."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out impressionistic texture; poor color fidelity and structural blurring; artifacts from over-smoothing.",5,5,5,"Strong Impressionist brushwork with vibrant, naturalistic colors; excellent preservation of architectural and figure details; minimal artifacts.",3,4,3,Moderate Impressionist feel with some softness; structure mostly preserved but slightly muted; minor smudging and color desaturation.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Overly washed out; minimalism not clearly expressed, structure partially preserved but lacks definition.",5,5,5,Excellent minimalism with clean lines and balanced composition; source structure well preserved with no artifacts.,3,2,2,"Minimalist intent present but overly blurred; structure and edges lost, significant artifacts reduce clarity."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Ukiyo-e stylistic features; structure is preserved but heavily degraded by haze.,5,5,5,Excellent Ukiyo-e line art and color palette; perfectly preserves portrait structure and oval frame; clean output with no artifacts.,3,4,3,Some stylistic influence but lacks distinct Ukiyo-e traits; structure is mostly intact but suffers from significant smudging and blur artifacts.
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",3,4,3,Moderate minimalism with some haze; structure mostly intact but lacks crispness and clarity.
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is preserved but lacks clarity and artistic intent.",5,5,5,"Strong minimalism achieved through flat colors, geometric simplification, and clean composition while preserving subject structure and avoiding artifacts.",2,3,2,Overly blurred and hazy; fails to convey minimalism clearly and introduces significant visual noise/artifacts.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; fails to capture Rococo elegance or detail. Structure is partially preserved but heavily degraded by noise and low contrast.,5,5,5,"Excellent Rococo styling with ornate frame, soft lighting, and delicate brushwork. Source structure perfectly preserved with no artifacts. Best overall output.",3,4,3,"Moderate Rococo feel with some decorative elements, but lacks refinement. Structure is mostly intact but suffers from slight smudging and muted colors."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, low contrast; style transfer is weak and indistinct. Structure is preserved but lacks definition. Minimal artifacts but poor stylistic fidelity.",5,5,5,"Excellent Ukiyo-e style with bold outlines, flat color regions, and stylized forms. Structure is well-preserved with clear figure and background separation. No visible artifacts; clean and coherent output.",3,4,4,Moderate style transfer with some stylization but less defined than Seedream. Structure is mostly preserved with minor softening. Some slight blurring in background elements but no major artifacts.
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Minimal style transfer; appears nearly identical to source with slight color shift. Structure preserved but no impressionistic texture or brushwork applied.,5,5,5,Strong impressionist style applied via visible brushstroke-like textures and color blending while perfectly preserving the original composition and grid structure. No artifacts.,3,4,4,Moderate impressionist effect with soft blur and muted tones. Structure mostly preserved but slightly softened. Some haloing around edges suggests minor artifacting.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, low contrast, and lacks Ukiyo-e line work or color blocking. Structure is preserved but style is nearly absent.",5,5,5,"Excellent transfer. Captures the flat coloring, distinct outlines, and stylized texture of Ukiyo-e while perfectly preserving the source portrait's structure and details.",3,4,3,Shows some stylization but remains too painterly and realistic compared to the target. The beard area is somewhat blurry and lacks the crisp definition of the reference.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not achieved, structure partially preserved but details lost.",5,5,5,"Excellent minimalism: clean lines, reduced detail, strong color blocking, faithful to source structure.",3,4,3,Moderate minimalism with some haze/artifacts; structure mostly intact but style less refined than D.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; lacks Renaissance color depth and texture. Structure preserved but overly blurred. Heavy artifacts from poor style mapping.",5,5,5,"Excellent Early Renaissance style: rich pigments, chiaroscuro, and period-appropriate brushwork. Structure perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance tones but lacks depth and detail. Structure mostly intact. Minor smudging and color bleeding artifacts.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e01,4,2,3,2,Weak Rococo styling; structure preserved but colors and textures are muddy with heavy vignetting artifacts.,5,5,4,Strong Rococo aesthetic with ornate frame and warm tones; structure well-preserved; minor softness in background.,3,4,5,Moderate style transfer; clean output with minimal artifacts but lacks strong Rococo character.
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,Excellent minimalism with clean geometry and flat colors; structure well preserved; no visible artifacts.,2,3,2,"Similar to LBM-Knee_e13 — hazy, low contrast, minimalism not effectively conveyed; structure faintly visible."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e01,DualPathFresh_e01,4,2,3,2,Weak Rococo influence; heavy vignetting and color distortion degrade structure and introduce artifacts.,5,4,4,Strong Rococo aesthetic with ornate framing and soft pastel tones; minor structural softening but overall excellent style transfer.,3,5,5,"Excellent structural fidelity and clean output, but Rococo style is only subtly applied — lacks ornamental richness."
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,4,5,"Preserves source structure well with minimal artifacts, but fails to apply Early Renaissance style — output remains nearly identical to source.",5,5,4,Excellent fusion of source geometry with target’s painterly texture and color palette; slight softening in facial details but overall highly faithful and stylistically rich.,3,3,3,Partial style transfer with visible noise and inconsistent rendering; structure is somewhat distorted and artifacts degrade clarity without full stylistic coherence.
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Minimal style transfer; output resembles source with slight color shift. No Renaissance elements applied. Structure preserved but lacks stylistic intent.,5,5,5,"Excellent integration of Early Renaissance architectural motifs (arches, columns, frescoes) while preserving the red oval pattern’s layout. Clean edges, no artifacts, faithful to both content and style.",3,4,4,"Subtle stylistic hints (soft lighting, muted tones) but lacks explicit Renaissance features. Structure well preserved. Minor smudging on right edge."
