case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,3,Overly blurred; loses both style and structure.,5,5,5,Strong Impressionist brushwork with excellent preservation of original composition and minimal artifacts.,3,4,4,Moderate style transfer; structure mostly preserved but lacks expressive brushwork.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves structure well but lacks minimalism; overly blurred and indistinct.,5,4,5,Strong minimalism with clean lines and flat colors; minor structural simplification.,3,4,4,Retains original detail too much; minimalism not fully applied.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves structure well but lacks Rococo styling; appears blurred and indistinct.,5,4,5,"Strong Rococo aesthetic with soft lighting, ornate background, and clean rendering; minor structural softening.",3,4,4,Moderate Rococo influence; retains structure but has slightly muted colors and less ornamental detail.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural detail and minimalism intent.,5,5,5,"Clean geometric shapes, high contrast, preserves source layout while enforcing minimalism effectively.",3,4,3,"Retains structure but adds noise and texture; less clean than D, partially undermines minimalism."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Extremely blurry and washed out; loses both style and structure.,5,4,4,Strong Ukiyo-e aesthetic with clear composition and minimal artifacts.,3,5,3,Preserves structure well but style is muted and lacks Ukiyo-e character.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,2,2,Overly blurred and abstract; loses both Rococo elegance and structural clarity.,5,4,3,Strong Rococo aesthetic with ornate details and soft palette; minor smudging but retains key architecture.,3,5,5,"Excellent structural fidelity and clean output, but style leans more neoclassical than Rococo."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; early Renaissance color and texture barely visible; structure partially preserved but heavily degraded by noise.",5,5,5,"Strong Early Renaissance palette, chiaroscuro, and compositional fidelity; clean rendering with minimal artifacts.",3,4,4,Moderate Renaissance feel with some color and tonal shifts; structure well maintained; minor smudging and edge softness.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Very faithful to source structure but lacks Impressionist brushwork and color; appears washed out and indistinct.,5,3,5,Strong Impressionist palette and visible brushstrokes; some structural distortion but clean rendering with minimal artifacts.,3,4,4,"Retains good structure and adds some color/texture, but style application is inconsistent and less distinctly Impressionist than D."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Overly blurred and washed out; loses architectural detail and stylistic clarity.,3,4,4,Good structure retention but muted color palette reduces Renaissance vibrancy.,5,5,5,"Excellent match to Early Renaissance style with crisp architecture, rich colors, and minimal artifacts."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural detail and fails to convey Impressionist brushwork or color.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, vibrant colors, and full preservation of architectural and figure structure; minimal artifacts.",4,4,4,Strong Impressionist style with good structure retention; slight softening in edges and minor color bleeding compared to D.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic detail; fails to convey minimalism or source content.",5,5,5,"Clean geometric simplification, preserves architectural structure and figures with minimal noise; strong minimalism.",3,4,3,"Retains structure but adds painterly texture and color shifts; less clean than D, slight artifacts in shading."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,2,1,Extremely blurry and indistinct; fails to convey Rococo elegance or preserve source structure.,4,3,3,Captures Rococo color palette and ornamental feel but distorts architectural lines and adds soft smudging artifacts.,5,5,5,Faithfully renders Rococo opulence with precise structural alignment and minimal artifacts; best overall match.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Extremely blurry and washed out; loses nearly all structural detail and Ukiyo-e stylistic cues.,5,5,5,Strong Ukiyo-e line work and flat color blocks; preserves architectural and figure structure cleanly with minimal artifacts.,4,4,4,Good Ukiyo-e influence with bold outlines and stylized figures; slight color bleeding and minor structural softening near edges.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Extremely degraded; no discernible structure or style transfer.,5,5,5,Excellent Early Renaissance style with full structural fidelity and clean output.,4,4,4,"Strong style and structure, but slightly less refined than D."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly abstracted; loses all structural and stylistic coherence.,5,5,5,Excellent Impressionist brushwork while preserving original composition and detail.,3,4,4,"Retains structure but applies a muted, sketchy style less aligned with Impressionism."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,2,No discernible structure or style; appears as noise.,5,5,5,"Clean, minimal line-art style with perfect structural fidelity and no artifacts.",3,4,3,"Retains structure but adds color and texture, deviating from minimalism."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves source structure well but lacks Rococo ornamentation; appears as a blurred grayscale version with minimal stylistic transfer.,5,4,5,"Strong Rococo aesthetic with ornate frames, soft pastel tones, and elegant figure rendering; minor structural distortion in portrait orientation but overall clean output.",4,4,4,"Good Rococo framing and monochrome engraving style; slightly rigid composition and minor edge artifacts, but faithful to target style intent."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,1,1,1,Completely lost structure and style; appears as noise or abstract blur.,4,3,3,"Strong Ukiyo-e color palette and line work, but structure is softened and slightly distorted; minor artifacts in background.",5,5,5,Excellent preservation of original structure with precise Ukiyo-e styling; clean output with no visible artifacts.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,2,"Highly abstracted, loses architectural structure and stylistic coherence; appears as a blurred impression rather than a faithful style transfer.",5,5,5,"Excellent preservation of Early Renaissance composition, lighting, and iconography; clean edges and no visible artifacts; closely matches target style while retaining source layout.",4,4,4,Strong stylistic match with rich detail and color; minor structural distortion in figure proportions and slight over-saturation; still very high quality.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Very blurry and washed-out; impressionistic texture is present but lacks color and detail fidelity.,5,5,5,Excellent impressionistic brushwork with vibrant colors; structure and key elements are well preserved with minimal artifacts.,3,4,4,"Moderate impressionistic effect; some loss of fine detail and slight color distortion, but structure remains mostly intact."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Completely lost structure and style; appears as a blurred gray cloud with no discernible content or minimalist intent.,5,4,5,"Strongly interprets minimalism through flat color blocks, simplified forms, and reduced detail while preserving key compositional elements of the source.",2,3,3,"Retains some structure but fails to apply minimalism; instead, it adds ornate, baroque-style details, contradicting the target style."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,2,Overly blurred and abstract; loses both Rococo elegance and source structure.,5,5,5,Faithfully renders Rococo ornamental details while preserving original composition and clarity.,4,4,4,"Strong Rococo styling with good structure, but slightly darker tone reduces luminosity typical of Rococo."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Extremely blurry and washed out; loses nearly all structural and stylistic detail.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color areas, and faithful preservation of original composition and figures.",3,4,3,"Retains structure well but applies a dark, painterly style that diverges from typical Ukiyo-e aesthetics; some artifacts in shading."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,2,1,Highly abstracted; loses all structural and stylistic fidelity to source and target.,4,4,4,Strong Early Renaissance style match with good structure and minimal artifacts.,5,5,5,"Near-perfect replication of source structure and target style; clean, artifact-free output."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and indistinct; lacks clear Impressionist brushwork or color palette; structure is heavily degraded.,5,5,5,"Strong Impressionist rendering with visible brushstrokes, vibrant colors, and soft edges while preserving original composition and figures clearly.",4,4,4,"Good stylistic adaptation with some Impressionist flair, but slightly less cohesive in brushwork and color blending than D; minor artifacts in halo regions."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,3,Overly blurred and abstract; loses all structural and stylistic fidelity to minimalism.,5,5,5,"Clean geometric shapes, flat colors, and simplified forms perfectly embody minimalism while preserving source structure.",3,4,4,Retains structure but applies painterly texture and color gradients that dilute minimalism; slight artifacts in halo and drapery.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,2,2,Highly abstracted; loses both Rococo elegance and source structure.,4,3,3,"Strong Rococo atmosphere and softness, but figures are blurred and structure is softened.",5,5,5,Perfectly captures Rococo color palette and decorative framing while flawlessly preserving the original composition and details.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,1,1,Extremely blurry and abstract; loses all structural detail and Ukiyo-e characteristics.,4,4,4,Strong Ukiyo-e style with clear linework and color blocking; minor halo distortion and slight over-saturation.,5,5,5,"Excellent preservation of original composition with precise Ukiyo-e stylization: clean lines, flat colors, decorative patterns, and no visible artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,2,1,Overly blurred and abstracted; loses facial structure and stylistic detail of Early Renaissance.,3,4,3,Retains good structure and some stylistic cues but lacks fine textural refinement typical of the era.,5,5,5,"Excellent preservation of facial structure, crown detail, beard texture, and Early Renaissance painterly style with minimal artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,1,1,"Overly blurred, loses facial structure and crown detail; style is vague and muddy.",4,3,3,"Good impressionistic brushwork and color, but slight haloing around crown edges and minor texture inconsistency.",5,5,5,"Excellent Impressionist rendering with preserved facial features, crown geometry, and clean edges; no visible artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Completely lost structure and style; appears as noise or blur.,5,5,5,"Perfectly preserves source structure while applying clean, minimalistic color blocking and simplified forms matching target style.",3,4,3,Retains structure well but applies style inconsistently; some texture and detail remain that conflict with minimalism.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and abstract; loses all structural detail and Rococo styling.,5,5,5,"Strong Rococo ornamental framing, faithful to source structure, clean rendering with no artifacts.",4,4,4,"Good Rococo color and texture, slight loss in fine facial structure compared to D, minor edge artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,1,1,1,"Completely lost structure and style; appears as a blurred, indistinct wash with no Ukiyo-e characteristics.",3,3,3,Shows some Ukiyo-e color blocking and line work but lacks fine detail; structure is recognizable but softened; minor artifacts in background.,5,5,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color planes, and stylized textures; perfectly preserves facial structure and crown details; minimal artifacts."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Severely degraded; style and structure lost to heavy blur and noise.,5,5,5,Excellent Early Renaissance style transfer with full structural fidelity and no artifacts.,4,5,4,"Strong style and structure, but slightly less refined texture and color than D."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Extremely blurry and indistinct; no clear impressionistic brushwork or color palette; structure is nearly lost.,5,5,5,Strong impressionistic brushstrokes and warm palette while preserving architectural and figure details cleanly.,4,4,4,"Good impressionistic feel with visible strokes, but slightly less refined than D; minor softening in edges."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,2,"Panel C is nearly blank, failing to preserve structure or apply minimalism meaningfully; appears as a failed transfer.",5,5,5,Panel D cleanly applies minimalism by simplifying colors and forms while preserving architectural and figure layout; no visible artifacts.,3,4,3,"Panel E retains structure but applies minimalism inconsistently — some areas are simplified, others remain detailed; minor color bleeding and edge softness."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Heavily degraded; style is indistinct and structure is lost in blur/noise.,5,5,5,"Strong Rococo styling with clean lines, ornate details, and full structural fidelity to source.",4,4,4,"Good Rococo style and structure, but slightly less refined detail and minor artifacts vs D."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,1,2,1,Extremely blurry and washed out; no discernible Ukiyo-e style or structural detail preserved.,3,4,3,"Moderate Ukiyo-e influence with some color and line work, but lacks fine detail and has minor artifacts in background elements.",5,5,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color planes, and stylized figures; structure closely matches source; minimal artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Overly blurred and washed out; loses Renaissance detail and structure.,4,4,4,Good stylistic match but slightly rigid composition and minor artifacts in drapery.,5,5,5,"Excellent preservation of Early Renaissance style, structure, and clean rendering."
Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,Very blurry and indistinct; lacks clear Impressionist brushwork or color palette; structure is partially preserved but heavily degraded.,3,4,3,"Shows some Impressionist traits (soft edges, warm tones) but retains too much of the original painting’s detail; moderate artifacts in background.",5,5,5,"Strong Impressionist rendering with visible brushstrokes, luminous color, and atmospheric haze; perfectly preserves the arched composition and figure arrangement; no visible artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,2,Completely loses structure and style; appears as a blurred white shape with no discernible content or minimalism intent.,5,5,5,"Perfectly preserves the original composition while applying a clean, stylized minimal aesthetic with bold colors and simplified forms — ideal for minimalism.",3,4,3,"Retains structure but applies a painterly, textured style that leans more toward impressionism than minimalism; some artifacts in texture blending."
Early_Renaissance__carlo-crivelli_piet-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,2,3,2,Overly blurred and muddy; lacks Rococo detail and clarity.,5,4,5,"Strong Rococo styling with ornate details, good structure retention, and clean output.",4,5,4,"Good structural fidelity and style, but slightly less refined in Rococo ornamentation than D."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,1,1,Severely degraded; style and structure lost to heavy blur and noise.,3,4,4,Good structure and moderate style transfer; minor artifacts in background.,5,5,5,"Excellent Early Renaissance style, perfect structure retention, no visible artifacts."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Overly blurred and washed out; loses both style and structure.,4,4,4,"Good impressionistic brushwork and color, but slightly less faithful to original composition than E.",5,5,5,Best balance: strong Impressionist texture while preserving source structure and minimizing artifacts.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Overly blurred and abstract; loses all structural and stylistic fidelity.,5,5,5,"Clean minimalism with preserved structure, no artifacts, strong style match.",3,4,3,Retains structure but retains too much original texture; style is diluted.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and abstract; loses Rococo elegance and structural clarity.,5,5,5,"Excellent Rococo styling with soft pastels, ornate framing, and faithful preservation of source structure and details.",3,4,3,"Retains structure well but applies a darker, more gothic tone than typical Rococo; some texture artifacts present."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,2,1,Extremely blurry and indistinct; loses nearly all structural detail and Ukiyo-e stylistic markers.,4,4,4,Good Ukiyo-e line work and color palette; preserves structure well with minor softening artifacts.,5,5,5,"Excellent Ukiyo-e rendering with bold outlines, flat color blocks, and faithful preservation of source structure and details."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very low style specificity; structure is blurred but intact; heavy artifacts and loss of detail.,5,5,5,Excellent Early Renaissance style match; perfect structure preservation; minimal artifacts.,4,4,4,Strong style and structure; slight over-saturation and minor artifacts in background.
