case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very faint Ukiyo-e influence; structure preserved but colors washed out; minimal artifacts but lacks stylistic fidelity.,5,5,5,Strong Ukiyo-e aesthetic with ink-wash texture and traditional composition; structure perfectly preserved; no visible artifacts.,2,3,4,Slight Ukiyo-e hint in color palette; structure mostly intact; clean output but stylistic transfer is weak.
Early_Renaissance__pisanello_stork-1430__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo styling; mostly aged paper texture. Structure preserved but lacks ornamental detail.,5,5,5,"Excellent Rococo integration: floral motifs, soft pastel palette, ornate frame. Bird structure intact, no artifacts.",2,4,3,Similar to LBM — aged parchment effect only. No Rococo elements. Structure preserved but stylistically neutral.
Impressionism__edgar-degas_ancer-with-red-stockings__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic fidelity to minimalism; structure is preserved but overly blurred and lacks clarity.",5,5,5,"Strong minimalism interpretation with clean geometry, flat color blocks, and sharp edges; source structure well preserved without artifacts.",2,3,2,"Similar to LBM — faint, low-contrast, and stylistically ambiguous; structure is present but degraded by noise and lack of definition."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; image appears faded and washed out with minimal ornamental or color characteristics of Rococo. Structure is somewhat preserved but lacks clarity. Heavy artifacts and loss of detail.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel tones, and decorative elements matching the target reference. Structure is well preserved with clear facial features and drapery. Minimal artifacts; clean and polished output.",3,4,3,"Moderate Rococo influence with soft lighting and slight ornamental framing, but lacks richness and detail compared to target. Structure is mostly preserved but slightly blurred. Some smudging and softness reduce artifact control."
Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint impressionistic washes; structure preserved but style is weak and washed out.,5,5,5,Excellent impressionistic texture and color blending while perfectly preserving the original composition and details.,3,4,4,Moderate style transfer with some visible edge artifacts and less cohesive color blending than the best result.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,3,2,Faint Rococo hints but mostly retains source’s medieval style; structure preserved but lacks stylistic transformation.,5,4,5,"Strong Rococo aesthetic with ornate framing, soft colors, and decorative elements; structure well maintained with minimal artifacts.",3,5,3,Good structural fidelity but only moderate Rococo styling; some color and texture artifacts present.
Rococo__antoine-pesne_carl-heinrich-graun__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and foggy with minimal impressionistic texture or color. Structure is preserved but obscured by haze. Heavy artifacts from over-smoothing.,5,5,5,"Excellent impressionistic style with visible brushwork, rich colors, and soft edges matching the target reference. Structure is perfectly preserved. No visible artifacts.",2,3,2,"Similar to LBM-Knee_e13 — overly hazy and desaturated, failing to convey impressionist style. Structure is faintly visible but degraded by noise-like artifacts."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly desaturated and blurry; loses stylistic intent and structural clarity.,5,5,5,"Clean minimalism with bold colors, sharp edges, and faithful structure.",2,3,2,"Similar to LBM-Knee_e13; washed out, low contrast, and lacks stylistic definition."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; heavy texture and dark vignette obscure content and style. Structure is somewhat preserved but degraded by artifacts.,5,5,5,"Excellent Rococo style transfer with ornate frame and soft pastel palette. Source structure (trees, water, sky) is perfectly preserved. No visible artifacts.",3,4,3,"Moderate Rococo feel via color and texture, but lacks ornamental framing. Structure is well preserved. Dark vignette and edge artifacts reduce quality."
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint impressionistic texture; structure mostly preserved but lacks stylistic depth and clarity.,5,5,5,Strong impressionist brushwork applied cleanly; structure perfectly preserved with no visible artifacts.,3,4,4,Moderate impressionist effect with slight blurring; structure intact but style less defined than Seedream.
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,3,3,Minimal style transfer; mostly grayscale with faint Renaissance hints. Structure preserved but lacks color and texture depth.,5,4,3,"Strong Early Renaissance palette and atmospheric perspective. Minor artifacts in wave texture and boat detail, but overall stylistic fidelity is high.",3,5,5,"Excellent structural fidelity and clean output. Style transfer is subtle — mostly monochrome with slight sepia tone, lacking full Renaissance chromatic richness."
Rococo__benjamin-west_self-portrait-1770__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and desaturated; loses facial detail and color fidelity. Structure is preserved but obscured by excessive blur.,5,5,5,Excellent impressionistic brushwork with vibrant colors and clear structure. Faithful to source pose and lighting while applying style effectively.,3,4,3,Moderate style transfer with some color retention but suffers from smudging and loss of fine detail. Structure is mostly intact but lacks crispness.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast, and lacks the bold lines and flat color blocks typical of Ukiyo-e. Structure is somewhat preserved but blurred.",5,5,5,"Excellent match to Ukiyo-e style with strong outlines, vibrant flat colors, and stylized shading. Structure is perfectly preserved with no visible artifacts.",3,4,3,"Shows some Ukiyo-e influence in color palette and line work, but lacks the crispness and stylization of the target. Some softness and minor artifacts in the background."
Minimalism__agnes-martin_happy-valley-1967__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,2,Completely fails to apply Rococo style; output is a blank white rectangle with dark borders. No structural or stylistic content preserved.,5,5,5,"Perfectly captures Rococo ornamental frame design, including scrollwork, floral motifs, and color palette. Structure is well-defined and artifact-free.",1,1,2,Output is nearly identical to LBM-Knee_e13 — blank white with dark vignette. No Rococo elements or structure applied.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Ukiyo-e color palette and line work. Structure is preserved but heavily degraded by blur.,5,5,5,"Excellent Ukiyo-e style transfer with appropriate color palette (red, gold, black), clean lines, and preserved structure. Minimal artifacts.",3,4,3,Moderate style transfer with some Ukiyo-e coloring but lacks strong line definition. Structure is well-preserved. Some softness/artifacts present.
Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, washed-out appearance; lacks Renaissance color depth and detail. Structure is partially preserved but heavily degraded by noise and blur. Artifacts include smudging and loss of edge definition.",5,5,5,"Excellent match to Early Renaissance style: rich earth tones, atmospheric perspective, and painterly texture. Structure is fully preserved with clear architectural details. No visible artifacts; clean and coherent output.",3,4,3,Moderate style transfer with some Renaissance-like coloring but overly bright and flat. Structure is mostly intact but edges are slightly softened. Minor artifacts from over-sharpening or edge enhancement visible in sky and building outlines.
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,5,Very low style specificity; nearly monochromatic and blurry. Structure is preserved but heavily degraded by noise/blur. No visible artifacts.,5,5,4,"Excellent minimalism: flat color blocks, clean geometry, strong abstraction of source scene. Minor edge artifacts in water/rock boundaries but overall very clean.",2,3,4,"Fails to apply minimalism; appears as a washed-out, overexposed version of source. Structure is faintly preserved but obscured by haze. Few artifacts but poor stylistic fidelity."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style; lacks Ukiyo-e color and line clarity. Structure is preserved but blurred. Heavy artifacts from over-smoothing.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat color blocks, and traditional composition. Source structure perfectly preserved. No visible artifacts.",3,4,3,"Moderate Ukiyo-e feel with some line work, but colors are muted and inconsistent. Structure mostly intact. Some smudging and edge artifacts present."
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves structure and edges perfectly but fails to apply any impressionist style; output is nearly identical to source.,4,4,3,"Best attempt at applying style with visible brushwork and color shifts, though it introduces some texture artifacts and slightly distorts the oval shape.",1,4,4,"Fails to apply style, resulting in a washed-out, low-contrast image that retains structure but lacks artistic intent."
Minimalism__tony-smith_die-1968__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low style transfer; cube appears frosted glass with no Renaissance texture or color. Structure is well preserved but lacks artistic intent.,5,5,5,"Excellent style transfer: warm earth tones, soft chiaroscuro, and painterly texture match Early Renaissance. Cube structure and lighting are faithfully preserved with minimal artifacts.",2,4,3,"Similar to LBM — fails to apply style, resulting in a translucent, overexposed cube. Structure intact but stylistically inert."
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; image appears washed out and lacks ornamental framing or pastel elegance. Structure is somewhat preserved but blurred. Heavy artifacts and loss of detail.,5,5,5,"Excellent Rococo style application: ornate frame, soft pastel tones, elegant brushwork. Source structure (crowd, buildings, figures) is well preserved. Minimal artifacts; clean and coherent output.",3,4,3,"Moderate Rococo influence with some framing and softness, but less ornate than target. Structure is reasonably preserved. Some smudging and edge artifacts reduce clarity."
Rococo__antoine-watteau_the-delicate-musician__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out impressionistic texture; structure preserved but overly blurred and low contrast; lacks clear brushwork or color vibrancy.",5,5,5,"Strong Impressionist brushwork, rich color palette, and faithful preservation of pose and composition; minimal artifacts; best overall match.",2,3,2,"Similar to LBM — faint, desaturated, and lacks stylistic depth; structure intact but visually underwhelming; no significant artifacts but poor style transfer."
Minimalism__eva-hesse_expanded-expansion-1969__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly bright and washed-out; lacks Renaissance texture and depth. Structure is preserved but style is too modern/flat.,5,5,5,"Excellent match to Early Renaissance sketch style — muted tones, visible line work, aged paper texture. Structure perfectly preserved with no artifacts.",3,4,3,Better than LBM but still too bright and lacks fine sketch detail. Some edge artifacts and inconsistent shading reduce authenticity.
Rococo__francois-boucher_portrait-of-madame-boucher-1745__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; frame appears degraded and noisy; structure preserved but style is muted and indistinct.,5,5,5,"Excellent Rococo aesthetic with ornate frame, soft lighting, and faithful subject structure; minimal artifacts.",3,4,3,Moderate Rococo feel with visible edge artifacts and uneven texture; structure mostly intact but style less refined.
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; colors are muted and lack ornamental detail. Structure is somewhat preserved but blurred. Heavy smudging and loss of fine edges.,5,5,5,"Excellent Rococo style with ornate frame, soft pastel tones, and delicate brushwork. Structure is perfectly preserved with clear subject definition. No visible artifacts.",2,3,2,"Minimal style transfer; appears as a faded, low-contrast version of source. Structure is recognizable but degraded. Significant noise and edge smearing present."
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; heavy texture artifacts and loss of detail. Structure is somewhat preserved but obscured by noise.,5,5,5,Excellent Rococo style capture with ornate frame and soft pastel tones. Structure is well-preserved and artifacts are minimal.,3,4,3,Moderate Rococo influence with some decorative elements. Structure is mostly intact but suffers from edge artifacts and uneven texture.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Weak Rococo styling; heavy vertical smearing distorts figures and background, poor color fidelity, significant artifacts.",5,5,5,"Excellent Rococo aesthetic with ornate framing, soft pastel tones, and elegant composition; source structure preserved cleanly with no visible artifacts.",2,3,2,"Similar to LBM-Knee_e13; lacks Rococo refinement, exhibits heavy edge-based distortion and color bleeding, minimal stylistic transfer."
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,"Very faint, washed-out style; lacks Ukiyo-e color and line work. Structure is preserved but overly blurred. Minimal artifacts but poor stylistic fidelity.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, vibrant colors, and characteristic wave patterns. Source structure (sailboat, sun, mountains) is well-preserved. No visible artifacts.",2,3,4,"Similar to LBM — very pale, low-contrast output. Fails to capture Ukiyo-e’s graphic quality. Structure is faintly visible but degraded. Clean but stylistically weak."
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic texture; structure preserved but style is weak and washed out.,5,5,5,Excellent impressionist brushwork applied naturally; structure perfectly preserved; no artifacts.,3,4,3,"Some impressionistic smudging applied, but overly uniform and slightly muddy; structure mostly intact."
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses both Impressionist texture and structural clarity. Heavy artifacting obscures figures.,5,5,5,"Excellent Impressionist brushwork with visible dabs of color, while preserving original composition and figure details. Minimal artifacts.",3,4,3,"Moderate Impressionist feel with some softness, but lacks vibrant color variation. Some smudging and loss of fine detail in faces and drapery."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed out, loses most stylistic detail and texture; structure is preserved but overly blurred.",5,5,5,"Excellent match to Early Renaissance style with rich textures, accurate color palette, and well-preserved structure and details.",3,4,4,Moderate style transfer with some texture but lacks depth; structure is mostly intact with minor artifacts.
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and lacks impressionistic brushwork or color vibrancy. Structure is preserved but overly blurred.,5,5,5,Excellent impressionistic style with visible brushstrokes and warm palette. Structure is well-preserved with no artifacts. Best overall result.,2,3,2,"Similar to LBM-Knee_e13 — faint, hazy output with minimal style transfer. Structure is somewhat preserved but obscured by blur and low contrast."
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but very low style specificity — appears washed out and lacks Ukiyo-e color/texture.",5,3,3,Strong Ukiyo-e style with vibrant colors and traditional motifs; some structural distortion and minor artifacts in water/land areas.,2,4,4,"Good structure and low artifacts, but style is muted and indistinct — lacks clear Ukiyo-e characteristics compared to reference."
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style transfer; appears as a faded, over-blurred version of the source with no Ukiyo-e characteristics. Structure is preserved but degraded by heavy blur.",5,5,5,"Excellent Ukiyo-e style application with appropriate color palette, line work, and texture. Structure is perfectly preserved with no artifacts or distortions.",3,4,3,"Moderate style transfer with some Ukiyo-e elements (color, texture) but lacks crispness. Structure is mostly preserved but suffers from slight smudging and loss of detail."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves original sketch with faint Rococo color wash. Structure intact but lacks stylistic richness.,5,5,5,"Excellent Rococo style infusion: ornate details, soft pastel tones, and decorative framing. Structure fully preserved with enhanced artistic flair. No visible artifacts.",2,4,3,"Similar to LBM — minimal style application, mostly structural fidelity with slight color tinting. Lacks Rococo ornamentation or texture."
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Ukiyo-e style with soft washes but lacks bold outlines and flat color blocks; structure preserved but colors are muted and slightly muddy.,5,5,5,"Excellent Ukiyo-e emulation: strong outlines, flat color planes, traditional composition, and minimal artifacts; closely matches target reference in both style and structure.",4,4,4,Good stylistic fidelity with visible edge patterns and color gradients; slight over-smoothing and minor color bleeding reduce purity compared to Seedream.
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; loses facial detail and Rococo ornamentation. Structure is partially preserved but heavily degraded by haze-like artifacts.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and delicate brushwork. Face and pose are well-preserved. No visible artifacts.",3,4,3,"Moderate Rococo feel with some decorative elements, but overly hazy and low-contrast. Face is recognizable but lacks crispness. Some smudging around edges."
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but applies almost no Rococo style; appears nearly identical to source.,5,3,3,"Strong Rococo style transfer with ornate frame and soft lighting, but distorts source geometry and adds non-source elements (e.g., cherry blossoms, altered figures).",3,4,4,"Moderate Rococo influence via color and texture, better structure than Seedream, but lacks strong stylistic markers and has slight blurring/artifacts."
Impressionism__augustus-john_proven-al-landscape__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style; lacks Ukiyo-e color and line quality. Structure preserved but overly blurred.",5,5,5,"Strong Ukiyo-e aesthetic with bold colors, defined lines, and atmospheric sky. Faithful to source structure with no visible artifacts.",3,4,4,Moderate style transfer with soft edges and muted tones. Some loss of detail in foliage; minor smudging but generally clean.
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source geometry perfectly with no artifacts, but applies almost no Rococo style—appears as a neutral gradient overlay.",5,3,3,"Strong Rococo ornamental detail and color palette; however, structure is distorted into a cross shape rather than preserving the original block layout, and some warping artifacts are present.",2,5,5,"Identical to LBM-Knee_e13 in output—perfect structure and artifact control, but zero style transfer applied."
Rococo__benjamin-west_self-portrait-1770__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style specificity; image is overly blurred and lacks Ukiyo-e characteristics. Structure is preserved but obscured by haze. Heavy artifacts from diffusion blur.,5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color regions, and stylized shading. Structure is perfectly preserved. No visible artifacts.",2,3,2,Minimal style transfer; appears as a faded version of source. Structure is preserved but details are lost. Significant blurring and halo artifacts around edges.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,3,3,3,"Moderate Renaissance texture and color wash applied, but structure is slightly blurred and artifacts appear in background regions.",5,4,4,Strongest Early Renaissance style transfer with appropriate chiaroscuro and palette; minor softening of fine lines but overall high fidelity.,2,5,5,"Excellent structure and artifact control, but style transfer is weak — retains too much of original image’s aesthetic with minimal Renaissance influence."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly bright and washed-out; lacks Renaissance texture and depth; structure preserved but style is too modern/impressionistic.,5,5,5,"Excellent match to Early Renaissance palette, brushwork, and chiaroscuro; structure intact; no visible artifacts.",3,4,3,Better than LBM but still too light and flat; some edge artifacts; structure mostly preserved but style lacks richness.
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly desaturated and washed-out; loses color identity and texture detail. Structure is preserved but style is too muted to reflect minimalism effectively.,5,5,5,"Excellent preservation of original structure and color palette while applying a clean, minimalist aesthetic. No visible artifacts or distortions.",3,4,3,Moderate success in simplifying the image but introduces slight blurring and loss of fine detail. Style is partially achieved but lacks crispness.
Ukiyo_e__keisai-eisen_the-courtesan-kaoru-of-owariya-matched-with-okitsu-1825(1)__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak impressionist style; heavy ghosting and structural distortion; poor artifact control.,5,5,5,Strong impressionist brushwork and color palette; excellent structure retention; minimal artifacts.,3,4,3,Moderate impressionist feel with some texture; good structure but noticeable edge artifacts and smudging.
Impressionism__augustus-john_proven-al-landscape__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly washed-out and desaturated; lacks Impressionist color vibrancy and brushwork texture. Structure is preserved but style is weak.,5,5,5,"Excellent Impressionist rendering: rich, varied brushstrokes, vibrant yet harmonious colors, and faithful structural fidelity. Minimal artifacts.",3,4,3,Moderate style transfer with some Impressionist flair but muted tones and slight smudging. Structure mostly preserved but less refined than Seedream.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal style transfer; output nearly identical to source with no Rococo elements. Structure preserved but no stylistic adaptation.,5,5,5,"Excellent Rococo style integration: ornate borders, soft pastel tones, and decorative motifs applied cohesively. Source structure fully preserved with high fidelity and no visible artifacts.",3,4,3,Moderate Rococo influence via edge-based pattern overlay; some ornamental framing added but lacks depth and color harmony. Structure mostly intact but with slight distortion at edges.
Minimalism__william-scott_bowl-white-on-grey-1962__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,4,4,Minimal style transfer; mostly preserves source with slight texture. Structure intact but lacks Impressionist brushwork or color.,5,3,3,"Strongest Impressionist style: visible brushstrokes, warm palette, atmospheric lighting. Slight structural distortion on right edge.",3,5,5,"Excellent structure and clean edges. Mild stylistic influence — subtle color shifts and soft texture, but not strongly Impressionist."
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; retains source’s ukiyo-e aesthetic with only slight color desaturation. Structure preserved well but no Renaissance elements introduced.,5,5,5,"Excellent Early Renaissance style transfer: chiaroscuro, rich palette, volumetric figures, and architectural framing applied faithfully. Source composition and object placement preserved without distortion or artifacts.",2,4,3,"Similar to LBM — minimal stylistic change, mostly color/texture tweaks. No meaningful Renaissance features. Structure intact but style specificity negligible."
Minimalism__fernando-lanhas_o39-68-1968__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,QEdgePattn_e01,4,2,5,4,Preserves source geometry perfectly but fails to apply Renaissance style; output is nearly identical to source with only minor texture.,5,4,3,"Excellent style transfer with clear Renaissance elements (figures, architecture). Structure is slightly distorted at the edges but remains recognizable.",3,5,5,"Very clean output with perfect structure preservation. Style application is subtle, appearing mostly as a paper texture rather than full scene integration."
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,"Faint, washed-out impressionistic texture; structure preserved but style is weak and indistinct.",5,5,5,Strong Impressionist brushwork with visible strokes and color blending; excellent structure retention and minimal artifacts.,2,3,4,"Similar to LBM — very faint stylistic effect, mostly grayscale wash; structure intact but style lacks definition."
Ukiyo_e__hiroshige_hakone-kosuizu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,QEdgePattn_e01,4,2,5,3,Preserves source structure well but applies minimal Rococo styling; lacks ornamental richness and color palette of target.,5,3,4,"Strongly captures Rococo aesthetics with ornate borders, soft colors, and decorative elements; some structural distortion in mountain forms.",3,4,5,Clean output with good structural fidelity and minimal artifacts; style transfer is subtle and lacks full Rococo ornamentation.
